_id,_importdate,case_t,district,case_f,build_name,location,landa,landa_z,sdate,scnt,trans_target,sbuild,tbuild,buitype,pbuild,mbuild,fdate,farea,build_r,build_l,build_b,build_p,rule,build_c,tprice,uprice,upnote,parktype,parea,pprice,elevator,mb_area,sb_area,pu_area,rmnote,longitude,latitude,metro_in500,metro_in1000,metro_in1500
447,"{'date': '2024-12-18 10:34:29.112424', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,士林區,房地(土地+建物)+車位,築觀,臺北市士林區中山北路五段609號,6.62,,1131012,土地:22建物:1車位:1,0棟B1-2F號,二層,21.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,64.25,,,,無,,,6995,125.94,否,坡道平面1,11.01,290,,31.93,2.73,29.6,,121.5275752,25.09604780000002,1,2,3
448,"{'date': '2024-12-18 10:34:29.113662', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,土地,,臺北市溪洲段三小段0647-0000地號,3.03,,1130810,土地:2建物:0車位:,,,,,,,,0.0,,,,無,無,,55,18.15,-,,0.0,0,無,,,,,120.5163949,23.8247844,0,0,0
449,"{'date': '2024-12-18 10:34:29.115007', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物),,臺北市天母北路9巷1號四樓,6.75,,1130714,土地:1建物:2車位:,,"一層,二層,三層,四層,屋頂突出物",,華廈(10層含以下有電梯),住家用,,,55.22,4.0,1.0,4.0,有,有,,3600,65.19,否,,0.0,0,有,,,,"土地交易價款：2160萬
建物交易價款：1440萬
本案公共設施面積含有約定專用空間(三層)每層面積約4.5坪，5、6、7層房間數每層一個",121.5266466,25.11918800000002,0,0,2
450,"{'date': '2024-12-18 10:34:29.116294', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,文山區,房地(土地+建物),,臺北市木柵路二段109巷100弄76號六樓,12.13,,1130716,土地:2建物:1車位:,,六層,,大樓(11層含以上有電梯),住家用,,,22.18,1.0,2.0,1.0,有,有,,1330,59.96,否,,0.0,0,有,,,,建築物含有：陽臺外推、其他增建。,121.5618748,24.99287620000001,0,2,3
451,"{'date': '2024-12-18 10:34:29.117550', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,房地(土地+建物)+車位,,臺北市敦化南路一段187巷41號,14.38,,1130920,土地:1建物:1車位:1,,"一層,二層",,華廈(10層含以下有電梯),商業用,,,67.87,0.0,2.0,1.0,有,有,,10500,154.71,是,升降平面1,0.0,500,有,,,,建築物含有：陽台外推、夾層、其他增建。,121.5513173,25.04262870000001,0,6,16
452,"{'date': '2024-12-18 10:34:29.118869', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大同區,房地(土地+建物)+車位,,臺北市南京西路227號十四樓之8,3.89,,1131029,土地:1建物:1車位:1,,十四層,,大樓(11層含以上有電梯),見其他登記事項,,,49.1,3.0,2.0,2.0,有,有,,3602,91.01,否,坡道平面1,12.82,300,有,,,,,121.510615,25.05392400000001,0,5,13
453,"{'date': '2024-12-18 10:34:29.120103', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,土地,,臺北市石潭段二小段0209-0000地號,37.19,,1131025,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,254,6.83,-,,0.0,0,無,,,,特殊交易標的類型：(包含)公共設施保留地(用地)。與政府有關之交易：協議價購。113年度臺北市政府以容積代金基金採購私有公共設施保留地之交易,121.5654268,25.0329636,2,3,6
454,"{'date': '2024-12-18 10:34:29.121292', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,大安區,房地(土地+建物)+車位,連雲雲恆,臺北市大安區辛亥路一段,2.54,,1131102,土地:2建物:1車位:1,0棟A-13F號,十三層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,30.08,,,,無,,,3885,155.82,否,其他1,6.88,270,,12.32,2.76,15.0,毛胚屋。雨遮登記不計價,121.5305892,25.02054570000003,1,2,8
455,"{'date': '2024-12-18 10:34:29.122752', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中正區,房屋,,臺北市和平西路一段11號十一樓,0.0,,1131105,土地:建物:車位:,,十一層,11.0,住宅大樓(11層含以上有電梯),商業用,,,12.3,22.0,0.0,22.0,有,無,有,1,715.45,否,,0.0,0,,,,,,121.5215827,25.02710599999999,2,5,9
456,"{'date': '2024-12-18 10:34:29.123971', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大同區,房屋,,臺北市迪化街二段134號三樓,0.0,,1131103,土地:建物:1車位:,,三層,4.0,公寓(無電梯),住家用,,,23.51,2.0,2.0,2.0,有,無,有,3,1063.38,否,,0.0,0,,,,,,121.5095844,25.06633180000002,1,1,6
457,"{'date': '2024-12-18 10:34:29.125229', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大同區,房地(土地+建物),,臺北市民權西路153號十二樓之8,1.03,,1130928,土地:2建物:1車位:,,十二層,,大樓(11層含以上有電梯),見其他登記事項,,,11.9,1.0,0.0,1.0,有,有,,1528,128.4,否,,0.0,0,有,,,,,121.5164038,25.06319570000001,3,5,10
458,"{'date': '2024-12-18 10:34:29.126559', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,北投區,房地(土地+建物)+車位,遠雄商舟,臺北市北投區洲美里福美路與福善路,24.43,,1131105,土地:1建物:1車位:5,A棟A5-12F號,十二層,18.0,辦公商業大樓,商業用,鋼筋混凝土造,,213.49,,,,無,,,13463,69.12,否,坡道平面5,36.01,1195,,95.68,7.31,110.51,,121.5066163,25.100495,0,0,0
459,"{'date': '2024-12-18 10:34:29.127801', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,萬華區,房屋,,臺北市內江街88號七樓,0.0,,1131104,土地:建物:1車位:,,七層,9.0,華廈(10層含以下有電梯),住家用,,,35.05,3.0,1.0,2.0,有,有,有,4,998.57,否,,0.0,0,,,,,,121.503896,25.04148399999998,0,3,8
460,"{'date': '2024-12-18 10:34:29.129763', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,南港區,土地,,臺北市中南段二小段0116-0003地號,2.39,,990705,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,79,33.05,-,,0.0,0,無,,,,,121.5654177,25.03296939999999,2,3,6
461,"{'date': '2024-12-18 10:34:29.131295', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市天津街37號七樓之4,0.0,,1131106,土地:建物:1車位:,,七層,8.0,華廈(10層含以下有電梯),住家用,,,9.25,1.0,0.0,1.0,有,有,有,2,2054.05,否,,0.0,0,,,,,,121.5230089,25.04977329999999,0,8,17
462,"{'date': '2024-12-18 10:34:29.132527', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,房地(土地+建物),,臺北市廣州街253巷11弄5號三樓,7.26,,1131111,土地:1建物:1車位:,,三層,,公寓(5樓含以下無電梯),住家用,,,18.82,2.0,1.0,1.0,有,無,,950,50.48,否,,0.0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.4968752,25.03716409999998,1,1,4
463,"{'date': '2024-12-18 10:34:29.133845', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物),,臺北市中山北路七段190巷8之4號七樓,6.22,,1131116,土地:1建物:1車位:,,七層,,華廈(10層含以下有電梯),住家用,,,32.85,5.0,3.0,3.0,有,有,,2080,63.32,否,,0.0,0,有,,,,建築物含有：陽台外推、頂樓加蓋、未登記建物。,121.5333561,25.12495410000001,0,0,0
464,"{'date': '2024-12-18 10:34:29.135115', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,房地(土地+建物)+車位,,臺北市內湖路三段242號八樓,12.3,,1131104,土地:1建物:1車位:2,,八層,,大樓(11層含以上有電梯),住家用,,,80.51,2.0,2.0,2.0,有,有,,4600,56.56,否,坡道平面2,9.08,560,有,,,,建築物含有：其他增建。,121.588143,25.08880599999999,0,1,2
465,"{'date': '2024-12-18 10:34:29.136314', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,大安區,房地(土地+建物)+車位,富邦藝庭,臺北市大安區仁愛路三段143巷49號,2.82,,1131028,土地:8建物:1車位:1,0棟A3-23F號,二十三層,27.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,44.82,2.0,2.0,2.0,有,,,7036,200.3,否,坡道平面1,11.94,450,,19.84,1.29,23.69,,121.5431695,25.04054050000001,4,11,17
466,"{'date': '2024-12-18 10:34:29.137623', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市錦西街8號五樓,0.0,,1131107,土地:建物:車位:,,五層,7.0,華廈(10層含以下有電梯),住家用,,,14.91,15.0,5.0,10.0,有,無,有,2,1341.38,否,,0.0,0,,,,,,121.5217006,25.0601543,3,8,13
467,"{'date': '2024-12-18 10:34:29.138873', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,南港區,車位,,臺北市東明街28號等共用部分,0.66,,1131110,土地:1建物:1車位:1,,"一層,地下一層,地下二層,地下三層",,,見其他登記事項,,,12.26,,,,無,有,,150,0.0,-,坡道平面1,12.26,150,有,,,,僅車位交易。,121.5654268,25.0329636,2,3,6
468,"{'date': '2024-12-18 10:34:29.140054', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,文山區,房屋,,臺北市興隆路一段55巷13號四樓,0.0,,1131101,土地:建物:1車位:,,四層,4.0,公寓(無電梯),住家用,,,26.6,3.0,2.0,1.0,有,無,有,3,939.85,否,,0.0,0,,,,,,121.5416202,25.00398939999998,1,1,3
469,"{'date': '2024-12-18 10:34:29.141250', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,信義區,房屋,,臺北市松山路421號十樓之1,5.67,,1131106,土地:1建物:1車位:,,十層,17.0,住宅大樓(11層含以上有電梯),住家用,,,19.77,,,,無,有,無,3,1568.03,否,,0.0,0,,,,,租金：含稅。,121.5779957,25.04057280000001,1,2,5
470,"{'date': '2024-12-18 10:34:29.142613', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物),,臺北市中正路399巷5號二樓,5.48,,1130921,土地:1建物:1車位:,,二層,,公寓(5樓含以下無電梯),住家用,,,23.22,2.0,1.0,1.0,有,無,,1123,48.36,否,,0.0,0,無,,,,建築物含有：陽台外推、其他增建。,121.5217474,25.0935946,1,2,3
471,"{'date': '2024-12-18 10:34:29.143850', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,信義區,房地(土地+建物),國美榕遇,臺北市信義區基隆路一段83巷與基隆路一段37巷交叉口,2.48,,1131104,土地:15建物:1車位:,A棟A8-05F號,五層,23.0,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,,23.11,2.0,2.0,1.0,有,,,3391,146.73,否,,0.0,0,,13.59,1.34,8.19,,121.5688672,25.04671290000001,0,2,5
472,"{'date': '2024-12-18 10:34:29.145082', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,土地,,臺北市萬華段二小段0512-0000地號,5.45,,1131107,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,396,72.66,-,,0.0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。土地上有：未登記建物。,121.5024937,25.04413630000001,0,4,8
473,"{'date': '2024-12-18 10:34:29.146296', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,房地(土地+建物),,臺北市長沙街二段11號十樓之14,0.7,,1131006,土地:11建物:1車位:,,十層,,大樓(11層含以上有電梯),見使用執照,,,5.9,0.0,1.0,1.0,有,有,,475,80.51,否,,0.0,0,有,,,,,121.506922,25.04077190000001,2,5,10
474,"{'date': '2024-12-18 10:34:29.147555', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,大安區,房地(土地+建物)+車位,連雲雲恆,臺北市大安區辛亥路一段,3.74,,1131009,土地:2建物:1車位:1,0棟B-15F號,十五層,15.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,41.14,,,,無,,,5580,155.58,否,其他1,6.88,250,,18.21,4.07,18.85,毛胚屋。雨遮登記不計價,121.5305892,25.02054570000003,1,2,8
475,"{'date': '2024-12-18 10:34:29.148872', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,房地(土地+建物)+車位,,臺北市和平東路一段250號二樓,4.53,,1130124,土地:2建物:1車位:1,,二層,,大樓(11層含以上有電梯),住家用,,,51.26,,,,無,有,,7205,140.56,是,塔式車位1,3.62,0,有,,,,,121.5330105,25.02598299999999,0,4,12
476,"{'date': '2024-12-18 10:34:29.150198', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,大同區,房屋,,臺北市重慶北路三段137巷25號四樓,0.0,,1131107,土地:建物:車位:,,四層,5.0,公寓(無電梯),住家用,,,6.6,5.0,1.0,4.0,有,無,有,2,2575.76,否,,0.0,0,,,,,租金：含下列其他衍生費用：水費、網路費、其他-垃圾處理費。其他：續租案件。,121.5150233,25.0680449,0,4,6
477,"{'date': '2024-12-18 10:34:29.151474', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,北投區,房地(土地+建物),,臺北市光明路226號九樓,2.56,,1130811,土地:1建物:1車位:,,九層,,華廈(10層含以下有電梯),住家用,,,15.75,1.0,1.0,1.0,有,有,,888,56.38,否,,0.0,0,有,,,,,121.5054091,25.13590690000001,1,1,2
478,"{'date': '2024-12-18 10:34:29.152817', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,南港區,房屋,,臺北市忠孝東路六段278巷23弄1號二樓,0.0,,1131103,土地:建物:車位:,,二層,5.0,公寓(無電梯),住家用,,,7.38,4.0,1.0,2.0,有,無,無,2,2276.42,否,,0.0,0,,,,,,121.5896508,25.04850900000001,1,2,3
479,"{'date': '2024-12-18 10:34:29.154144', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,士林區,房屋,,臺北市雨農路9號地下,0.0,,1131106,土地:建物:1車位:,,地下層,5.0,公寓(無電梯),見使用執照,,,31.25,1.0,1.0,1.0,有,無,無,2,752.0,否,,0.0,0,,,,,,121.5320715,25.09733740000001,0,1,2
480,"{'date': '2024-12-18 10:34:29.155436', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,北投區,房地(土地+建物),,臺北市北投路一段55號十三樓之5,2.71,,1130819,土地:1建物:1車位:,,十三層,,大樓(11層含以上有電梯),見其他登記事項,,,23.84,2.0,2.0,1.0,有,有,,2268,95.13,否,,0.0,0,有,,,,,121.5009306,25.12526090000001,1,1,2
481,"{'date': '2024-12-18 10:34:29.156863', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,文山區,房屋,,臺北市保儀路129號,0.0,,1131107,土地:建物:車位:,,十一層,12.0,透天厝,見其他登記事項,,,9.98,16.0,2.0,16.0,有,有,有,2,0.0,-,,0.0,0,,,,,租金：含下列其他衍生費用：水費、網路費。租賃標的：租賃建物部分範圍，且未計入共有部分面積。,121.5672654999999,24.98482709999998,0,0,0
482,"{'date': '2024-12-18 10:34:29.158208', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,房地(土地+建物),,臺北市康樂街61巷79弄7號四樓,9.3,,1131008,土地:1建物:1車位:,,四層,,公寓(5樓含以下無電梯),住家用,,,25.77,3.0,1.0,1.0,有,無,,1000,38.8,否,,0.0,0,無,,,,,121.6202523,25.07120370000001,0,1,3
483,"{'date': '2024-12-18 10:34:29.159643', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,房地(土地+建物),,臺北市成功路二段179號二樓,7.58,,1130726,土地:1建物:1車位:,,二層,,公寓(5樓含以下無電梯),住家用,,,26.14,3.0,1.0,2.0,有,無,,1322,50.57,否,,0.0,0,無,,,,建築物含有：其他增建。法定空地增建8.06㎡,121.590722,25.0663683,0,0,1
484,"{'date': '2024-12-18 10:34:29.161081', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市新生北路三段35號三樓,0.0,,1131106,土地:0建物:車位:,,三層,4.0,公寓(無電梯),住家用,,,16.0,2.0,1.0,1.0,有,無,有,2,1375.0,否,,0.0,0,,,,,,121.5280549,25.06496519999997,1,4,10
485,"{'date': '2024-12-18 10:34:29.162567', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,萬華區,房地(土地+建物)+車位,龍邦豐馥,臺北市萬華區西園路二段,3.51,,1131107,土地:34建物:1車位:1,1棟B4-3F號,三層,15.0,住宅大樓(11層含以上有電梯),見其他登記事項,見其他登記事項,,38.59,2.0,2.0,2.0,有,,,2243,78.14,否,坡道平面1,13.66,295,,14.84,1.72,22.03,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.49519,25.02820049999998,0,1,1
486,"{'date': '2024-12-18 10:34:29.164196', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,松山區,房地(土地+建物)+車位,,臺北市南京東路四段52巷21號十樓,7.46,,1110118,土地:1建物:1車位:1,,十層,,華廈(10層含以下有電梯),見其他登記事項,,,42.06,3.0,2.0,2.0,有,無,,5050,128.58,否,升降機械1,4.34,200,有,,,,預售屋、或土地及建物分件登記案件。,121.553753,25.0506676,2,4,12
487,"{'date': '2024-12-18 10:34:29.165547', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,士林區,房屋,,臺北市通河東街二段10巷5弄1號四樓,0.0,,1131107,土地:建物:1車位:,,四層,4.0,公寓(無電梯),住家用,,,28.1,3.0,1.0,1.0,有,有,有,2,676.16,否,,0.0,0,,,,,,121.5152815,25.09134230000001,0,0,3
488,"{'date': '2024-12-18 10:34:29.166757', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,士林區,房地(土地+建物)+車位,,臺北市天母東路105巷9弄10號十樓,7.11,,1130430,土地:1建物:1車位:1,,十層,,大樓(11層含以上有電梯),見其他登記事項,,,46.67,3.0,2.0,2.0,有,有,,4380,97.42,否,其他1,3.97,220,有,,,,預售屋、或土地及建物分件登記案件。,121.5357664,25.11905480000003,0,0,0
489,"{'date': '2024-12-18 10:34:29.168102', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,內湖區,房屋,,臺北市新明路273巷6號五樓,0.0,,1131102,土地:建物:車位:,,五層,5.0,華廈(10層含以下有電梯),工業用,,,6.96,18.0,1.0,18.0,有,無,有,1,2126.44,否,,0.0,0,,,,,租金：含下列其他衍生費用：水費、瓦斯費。,121.58631,25.05692180000001,0,1,3
490,"{'date': '2024-12-18 10:34:29.169477', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,信義區,房地(土地+建物)+車位,,臺北市信義路五段127號八樓之6,4.27,,1131113,土地:1建物:1車位:1,,八層,,大樓(11層含以上有電梯),住家用,,,31.25,2.0,1.0,1.0,有,有,,2910,103.0,否,坡道機械1,4.94,200,有,,,,建築物含有：其他增建。,121.5741584,25.0339076,1,2,4
491,"{'date': '2024-12-18 10:34:29.171006', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,信義區,房地(土地+建物),,臺北市虎林街141巷15弄9號三樓,6.43,,1131019,土地:1建物:1車位:,,三層,,公寓(5樓含以下無電梯),住家用,,,17.1,2.0,1.0,1.0,有,無,,1280,74.85,否,,0.0,0,無,,,,建築物含有：陽台外推、其他增建。,121.5771712,25.03994320000003,1,1,5
492,"{'date': '2024-12-18 10:34:29.172876', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,房地(土地+建物)+車位,,臺北市大埔街6之1號五樓,16.39,,1130906,土地:2建物:1車位:2,,五層,,華廈(10層含以下有電梯),住家用,,,58.87,3.0,2.0,2.0,有,有,,3500,59.45,是,一樓平面2,0.0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.504812,25.03162770000001,0,2,6
493,"{'date': '2024-12-18 10:34:29.174479', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,大安區,房地(土地+建物)+車位,吾雙,臺北市大安區信義路四段408號,6.6,,1131029,土地:19建物:1車位:2,A棟A5-28F號,二十八層,31.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,91.0,4.0,2.0,2.0,有,,,15638,208.19,否,坡道平面2,21.65,1200,,41.22,6.1,43.67,雨遮計坪不計價,121.5570157,25.03288339999999,1,3,9
494,"{'date': '2024-12-18 10:34:29.175924', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,信義區,房屋,,臺北市忠孝東路五段410號十八樓之2,0.0,,1131105,土地:建物:1車位:,,十八層,18.0,辦公商業大樓,見使用執照,,,28.34,3.0,2.0,1.0,有,有,無,6,2117.15,否,,0.0,0,,,,,租金：含稅。,121.5750889,25.04075510000002,1,1,6
495,"{'date': '2024-12-18 10:34:29.177298', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,房地(土地+建物),,臺北市延吉街162號二樓之4,5.95,,1131019,土地:1建物:1車位:,,二層,,華廈(10層含以下有電梯),住家用,,,31.24,3.0,2.0,1.0,有,有,,2688,86.04,否,,0.0,0,有,,,,建築物含有：陽台外推。,121.5549636,25.03916000000002,1,2,14
496,"{'date': '2024-12-18 10:34:29.178582', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,文山區,房地(土地+建物)+車位,元利四季莊園,臺北市文山區木柵路一段,9.42,,1131101,土地:2建物:1車位:1,G棟16F-G06號,十六層,33.0,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,,65.52,3.0,2.0,3.0,有,,,6227,101.29,否,坡道平面1,7.5,350,,34.72,3.1,27.7,,121.5498789,24.98742269999999,0,2,3
497,"{'date': '2024-12-18 10:34:29.180532', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,北投區,房屋,,臺北市中山路47號三樓之11,0.0,,1131101,土地:建物:1車位:,,三層,12.0,住宅大樓(11層含以上有電梯),住家用,,,9.81,1.0,0.0,1.0,有,有,有,1,1325.18,否,,0.0,0,,,,,,121.5116337,25.1385722,0,1,1
498,"{'date': '2024-12-18 10:34:29.181925', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,內湖區,房地(土地+建物)+車位,,臺北市成功路五段408號十三樓之1,16.28,,1131007,土地:3建物:1車位:1,,"十三層,十四層",,大樓(11層含以上有電梯),住家用,,,64.73,,,,無,有,,5500,84.97,是,坡道平面1,11.04,0,有,,,,,121.607701,25.075881,0,0,3
499,"{'date': '2024-12-18 10:34:29.183372', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,中山區,房屋,,臺北市中山北路二段62巷9號二樓之1,0.0,,1131106,土地:建物:1車位:,,二層,7.0,華廈(10層含以下有電梯),住家用,,,25.56,2.0,1.0,2.0,有,無,有,4,1369.33,否,,0.0,0,,,,,承租人：多人共同承租，共2人。,121.5219804,25.05681450000001,5,8,16
500,"{'date': '2024-12-18 10:34:29.184773', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,房地(土地+建物),,臺北市環河南路一段121號五樓,6.61,,1131109,土地:1建物:1車位:,,五層,,華廈(10層含以下有電梯),住家用,,,32.62,3.0,2.0,2.0,有,無,,1480,45.37,否,,0.0,0,有,,,,,121.5006608,25.04284560000001,0,3,5
501,"{'date': '2024-12-18 10:34:29.186208', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,中山區,房地(土地+建物),,臺北市合江街144巷4號二樓,9.0,,1131009,土地:1建物:1車位:,,二層,,公寓(5樓含以下無電梯),住家用,,,22.89,3.0,2.0,1.0,有,無,,1630,71.21,否,,0.0,0,無,,,,建築物含有：陽台外推。,121.5388625,25.05979210000001,0,5,9
502,"{'date': '2024-12-18 10:34:29.187778', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,北投區,房地(土地+建物)+車位,遠雄商舟,臺北市北投區洲美里福美路與福善路,24.43,,1131105,土地:1建物:1車位:5,A棟A5-13F號,十三層,18.0,辦公商業大樓,商業用,鋼筋混凝土造,,213.49,,,,無,,,13448,69.04,否,坡道平面5,36.01,1195,,95.68,7.31,110.51,,121.5066163,25.100495,0,0,0
503,"{'date': '2024-12-18 10:34:29.189242', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,土地,,臺北市辛亥段四小段0210-0000地號,22.69,,1131122,土地:1建物:0車位:,,,,,,,,0.0,,,,無,無,,2890,127.37,-,,0.0,0,無,,,,,120.309668,22.66525739999999,0,0,0
504,"{'date': '2024-12-18 10:34:29.190778', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",預售屋,內湖區,房地(土地+建物)+車位,力麒·寰山,臺北市內湖區麗山里環山路二段23號旁,5.14,,1131021,土地:6建物:1車位:1,0棟A1-10F號,十層,17.0,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,49.2,3.0,2.0,2.0,有,,,4635,113.2,否,坡道平面1,11.17,330,,22.61,1.94,24.64,,121.5715037999999,25.08608229999997,0,2,2
505,"{'date': '2024-12-18 10:34:29.192299', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,萬華區,房地(土地+建物),,臺北市西藏路263號三樓,8.77,,1131111,土地:1建物:1車位:,,三層,,公寓(5樓含以下無電梯),住家用,,,26.67,3.0,2.0,2.0,有,無,,1080,40.49,否,,0.0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。建築物含有：其他增建。買方負擔土地增值稅,121.4935808,25.02841739999998,0,0,1
506,"{'date': '2024-12-18 10:34:29.193653', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,信義區,房地(土地+建物),,臺北市基隆路一段380巷38號三樓之1,5.29,,1131010,土地:3建物:1車位:,,三層,,大樓(11層含以上有電梯),見其他登記事項,,,26.44,2.0,2.0,1.0,有,有,,2588,97.88,否,,0.0,0,有,,,,建築物含有：陽台外推、其他增建。,121.558248,25.03461390000001,0,4,7
507,"{'date': '2024-12-18 10:34:29.195249', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,大安區,房地(土地+建物),,臺北市忠孝東路四段181巷43號五樓,2.77,,1131105,土地:1建物:1車位:,,五層,,華廈(10層含以下有電梯),住家用,,,11.79,1.0,1.0,1.0,有,有,,700,59.37,否,,0.0,0,有,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。,121.5508664,25.0443154,0,6,16
508,"{'date': '2024-12-18 10:34:29.196725', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",買賣,松山區,房地(土地+建物),,臺北市民生東路五段69巷3弄22號,11.34,,1130920,土地:1建物:1車位:,,"一層,平台",,公寓(5樓含以下無電梯),住家用,,,32.63,3.0,2.0,2.0,有,無,,1198,36.71,否,,0.0,0,無,,,,關係人間交易：親友、員工、共有人或其他特殊關係間之交易。建築物含有：未登記建物。,121.5574173999999,25.05918059999997,0,2,4
509,"{'date': '2024-12-18 10:34:29.198222', 'timezone_type': 3, 'timezone': 'Asia/Taipei'}",租賃,萬華區,房屋,,臺北市漢口街二段73號三樓之12,0.0,,1131105,土地:建物:1車位:,,三層,12.0,住宅大樓(11層含以上有電梯),商業用,,,10.21,1.0,0.0,1.0,有,有,有,1,1371.2,否,,0.0,0,,,,,,121.5050558,25.04616329999998,0,3,8
