case_t,district,case_f,landa,scnt,sbuild,buitype,pbuild,farea,build_r,build_l,build_b,build_p,rule,tprice,upnote,parktype,parea,elevator,metro_in500,metro_in1000,metro_in1500
買賣,內湖區,房地(土地+建物)+車位,18.24,土地:1建物:1車位:2,二層,華廈(10層含以下有電梯),工業用,122.41,,,,無,有,6738,否,坡道平面2,20.19,有,0,2,3
買賣,士林區,房地(土地+建物),8.83,土地:1建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,27.62,3.0,2.0,2.0,有,無,1310,否,,0.0,無,0,0,3
買賣,大安區,房地(土地+建物),12.21,土地:2建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,32.81,3.0,2.0,2.0,有,無,2950,否,,0.0,無,0,6,10
預售屋,北投區,房地(土地+建物)+車位,8.34,土地:1建物:1車位:1,十四層,住宅大樓(11層含以上有電梯),住家用,54.63,3.0,2.0,2.0,有,,5866,否,坡道平面1,7.87,,0,0,0
買賣,信義區,房地(土地+建物),4.54,土地:1建物:1車位:,二層,大樓(11層含以上有電梯),住家用,31.18,3.0,2.0,2.0,有,有,2528,否,,0.0,有,0,1,4
預售屋,北投區,房地(土地+建物)+車位,8.35,土地:1建物:1車位:1,十五層,住宅大樓(11層含以上有電梯),住家用,54.68,3.0,2.0,2.0,有,,5880,否,坡道平面1,7.87,,0,0,0
預售屋,中正區,房地(土地+建物)+車位,3.15,土地:8建物:1車位:1,六層,住宅大樓(11層含以上有電梯),住家用,34.95,2.0,1.0,2.0,有,,4767,否,塔式車位1,3.28,,3,7,14
預售屋,松山區,房地(土地+建物),2.13,土地:3建物:1車位:0,一層,套房(1房(1廳)1衛),住家用,10.78,0.0,1.0,1.0,有,,1400,否,,0.0,,0,1,3
預售屋,內湖區,房地(土地+建物)+車位,5.36,土地:6建物:1車位:1,九層,住宅大樓(11層含以上有電梯),住家用,50.81,3.0,2.0,2.0,有,,4755,否,坡道平面1,11.17,,0,2,2
買賣,信義區,房地(土地+建物),7.0,土地:2建物:1車位:,四層,華廈(10層含以下有電梯),住家用,35.72,3.0,2.0,2.0,有,有,3388,否,,0.0,有,0,3,7
買賣,大同區,房地(土地+建物),0.95,土地:1建物:1車位:,三層,大樓(11層含以上有電梯),商業用,12.15,,,,無,無,400,否,,0.0,有,1,5,12
預售屋,文山區,房地(土地+建物)+車位,3.99,土地:2建物:1車位:1,二層,住宅大樓(11層含以上有電梯),住家用,32.11,2.0,2.0,2.0,有,,2914,否,坡道平面1,7.5,,0,2,3
買賣,南港區,車位,0.57,土地:1建物:1車位:1,"地下一層,地下二層,地下三層,地下四層",,停車空間,10.4,,,,無,有,208,-,坡道平面1,10.4,有,3,6,8
買賣,大安區,房地(土地+建物)+車位,4.51,土地:2建物:1車位:1,三層,大樓(11層含以上有電梯),住家用,51.24,,,,無,有,7204,是,塔式車位1,3.62,有,0,4,12
買賣,信義區,房地(土地+建物),2.05,土地:3建物:1車位:,九層,大樓(11層含以上有電梯),見其他登記事項,12.17,0.0,1.0,1.0,有,有,1765,否,,0.0,有,1,2,5
預售屋,中山區,房地(土地+建物),0.97,土地:40建物:1車位:,二十一層,住宅大樓(11層含以上有電梯),住家用,17.08,1.0,2.0,1.0,有,,2410,否,,0.0,,0,11,12
買賣,大同區,房地(土地+建物),0.96,土地:1建物:1車位:,五層,大樓(11層含以上有電梯),商業用,8.59,0.0,1.0,1.0,有,有,645,否,,0.0,有,1,7,15
買賣,大同區,車位,0.02,土地:1建物:1車位:1,"一層,陽臺,地下一層,地下二層",,見其他登記事項,3.2,,,,無,無,65,-,塔式車位1,3.2,有,5,7,16
買賣,中正區,房地(土地+建物),0.77,土地:1建物:1車位:,八層,華廈(10層含以下有電梯),住家用,4.34,1.0,0.0,1.0,有,無,250,否,,0.0,有,3,7,13
預售屋,內湖區,房地(土地+建物)+車位,4.38,土地:6建物:1車位:1,六層,住宅大樓(11層含以上有電梯),住家用,43.58,3.0,2.0,2.0,有,,3838,否,坡道平面1,11.17,,0,2,2
預售屋,松山區,房地(土地+建物),2.48,土地:3建物:1車位:0,七層,華廈(10層含以下有電梯),住家用,12.54,1.0,1.0,1.0,有,,1650,否,,0.0,,0,1,3
預售屋,內湖區,房地(土地+建物)+車位,5.04,土地:6建物:1車位:1,十五層,住宅大樓(11層含以上有電梯),住家用,48.47,3.0,2.0,2.0,有,,4722,否,坡道平面1,11.17,,0,2,2
預售屋,松山區,房地(土地+建物),2.48,土地:3建物:1車位:0,六層,華廈(10層含以下有電梯),住家用,12.54,1.0,1.0,1.0,有,,1625,否,,0.0,,0,1,3
預售屋,文山區,房地(土地+建物)+車位,1911.5,土地:2建物:1車位:1,三層,華廈(10層含以下有電梯),住家用,25.09,2.0,2.0,1.0,有,,1420,否,其他1,4.3,,0,1,3
買賣,內湖區,房地(土地+建物),2.91,土地:2建物:1車位:,一層,大樓(11層含以上有電梯),見其他登記事項,14.57,0.0,1.0,1.0,有,有,1515,否,,0.0,有,0,2,3
預售屋,內湖區,房地(土地+建物),3.64,土地:6建物:1車位:,十三層,住宅大樓(11層含以上有電梯),住家用,26.92,2.0,2.0,1.0,有,,3098,否,,0.0,,0,2,2
預售屋,萬華區,房地(土地+建物)+車位,4.18,土地:34建物:1車位:1,五層,住宅大樓(11層含以上有電梯),見其他登記事項,43.56,2.0,2.0,2.0,有,,2750,否,坡道平面1,13.66,,0,1,1
買賣,大安區,車位,1.95,土地:1建物:1車位:1,地下一層,,見其他登記事項,10.62,,,,無,有,450,-,坡道平面1,10.62,有,1,2,14
買賣,大安區,房地(土地+建物),9.98,土地:3建物:1車位:,二層,公寓(5樓含以下無電梯),,33.01,3.0,2.0,2.0,有,無,3960,否,,0.0,無,4,10,15
買賣,中山區,房地(土地+建物),18.91,土地:1建物:1車位:,五層,華廈(10層含以下有電梯),商業用,96.35,,,,無,有,6500,否,,0.0,有,0,6,15
買賣,士林區,房地(土地+建物)+車位,6.5,土地:1建物:1車位:1,十層,大樓(11層含以上有電梯),見其他登記事項,42.96,3.0,2.0,2.0,有,有,3960,否,其他1,3.97,有,0,0,0
買賣,萬華區,房地(土地+建物),3.84,土地:1建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,9.79,2.0,1.0,1.0,有,有,310,否,,0.0,無,0,0,1
預售屋,大安區,房地(土地+建物)+車位,6.6,土地:19建物:1車位:2,三十層,住宅大樓(11層含以上有電梯),住家用,91.0,4.0,2.0,2.0,有,,15807,否,坡道平面2,21.65,,1,3,9
買賣,大同區,房地(土地+建物),0.74,土地:1建物:1車位:,九層,大樓(11層含以上有電梯),住家用,9.05,1.0,1.0,1.0,有,有,950,否,,0.0,有,2,8,11
買賣,文山區,房地(土地+建物)+車位,4.44,土地:1建物:1車位:1,"一層,陽臺,屋頂突出物,地下一層,地下二層",華廈(10層含以下有電梯),住家用,31.99,1.0,2.0,1.0,有,有,1875,否,坡道平面1,13.56,有,1,1,6
買賣,大安區,房地(土地+建物)+車位,4.03,土地:1建物:1車位:1,三層,大樓(11層含以上有電梯),商業用,47.56,3.0,2.0,1.0,有,有,4580,否,坡道平面1,7.23,有,4,9,18
預售屋,北投區,房地(土地+建物)+車位,6.58,土地:1建物:1車位:1,十四層,住宅大樓(11層含以上有電梯),住家用,44.81,3.0,2.0,2.0,有,,5592,否,坡道平面1,7.87,,0,0,0
買賣,內湖區,房地(土地+建物),10.11,土地:1建物:1車位:,五層,公寓(5樓含以下無電梯),住家用,31.26,3.0,2.0,1.0,有,無,1900,否,,0.0,無,0,0,1
買賣,中山區,建物,0.0,土地:0建物:1車位:1,"一層,夾層",大樓(11層含以上有電梯),商業用,32.72,0.0,0.0,1.0,有,有,1262,-,坡道平面1,0.0,有,3,6,15
買賣,北投區,車位,0.36,土地:1建物:1車位:2,地下層,,見使用執照,24.02,,,,無,有,360,-,坡道平面2,0.0,有,0,0,0
買賣,北投區,房地(土地+建物),11.4,土地:1建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,27.28,3.0,2.0,1.0,有,無,940,否,,0.0,無,1,2,2
買賣,士林區,房地(土地+建物)+車位,8.08,土地:1建物:1車位:2,十一層,大樓(11層含以上有電梯),見其他登記事項,64.08,,,,無,有,6830,否,坡道平面2,21.23,有,0,0,2
買賣,萬華區,車位,0.02,土地:1建物:1車位:2,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,十三層,十四層,十五層,屋頂突出物,地下一層,地下二層,地下三層",,見其他登記事項,20.6,,,,無,有,510,-,坡道平面2,20.59,有,2,3,6
買賣,萬華區,車位,0.01,土地:1建物:1車位:1,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,十一層,十二層,十三層,十四層,十五層,屋頂突出物,地下一層,地下二層,地下三層",,見其他登記事項,10.3,,,,無,有,190,-,坡道平面1,10.3,有,0,0,1
預售屋,大安區,房地(土地+建物)+車位,5.46,土地:19建物:1車位:1,三十一層,住宅大樓(11層含以上有電梯),住家用,69.26,3.0,2.0,2.0,有,,13350,否,坡道平面1,10.83,,1,3,9
買賣,中山區,房地(土地+建物),7.87,土地:1建物:1車位:,四層,公寓(5樓含以下無電梯),住家用,30.11,3.0,2.0,1.0,有,無,1912,否,,0.0,無,0,2,4
預售屋,中正區,房地(土地+建物)+車位,3.65,土地:8建物:1車位:1,九層,住宅大樓(11層含以上有電梯),住家用,39.92,3.0,2.0,2.0,有,,5510,否,塔式車位1,3.28,,3,7,14
預售屋,北投區,房地(土地+建物)+車位,27.29,土地:1建物:1車位:5,十三層,辦公商業大樓,商業用,234.34,,,,無,,14859,否,坡道平面5,36.01,,0,0,0
買賣,萬華區,建物,0.0,土地:0建物:1車位:,一層,透天厝,,9.48,,,,無,無,350,-,,0.0,無,0,0,1
買賣,北投區,房地(土地+建物),6.53,土地:2建物:1車位:,五層,公寓(5樓含以下無電梯),住家用,22.93,3.0,1.0,1.0,有,無,850,否,,0.0,無,0,1,2
買賣,大安區,房地(土地+建物)+車位,9.79,土地:1建物:1車位:1,五層,華廈(10層含以下有電梯),住家用,40.27,2.0,2.0,1.0,有,有,4568,是,坡道平面1,0.0,有,3,5,16
買賣,內湖區,房地(土地+建物),10.91,土地:2建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,27.03,3.0,2.0,2.0,有,無,1930,否,,0.0,無,2,2,2
買賣,大同區,房地(土地+建物),3.29,土地:3建物:1車位:,一層,公寓(5樓含以下無電梯),住家用,9.73,,,,無,無,1050,否,,0.0,無,0,1,5
預售屋,內湖區,房地(土地+建物)+車位,4.38,土地:6建物:1車位:1,七層,住宅大樓(11層含以上有電梯),住家用,43.58,3.0,2.0,2.0,有,,3865,否,坡道平面1,11.17,,0,2,2
買賣,南港區,房地(土地+建物)+車位,13.16,土地:1建物:1車位:1,七層,華廈(10層含以下有電梯),住家用,60.56,3.0,2.0,2.0,有,有,3500,是,坡道平面1,10.21,有,0,1,2
預售屋,內湖區,房地(土地+建物)+車位,3.64,土地:6建物:1車位:1,十二層,住宅大樓(11層含以上有電梯),住家用,38.09,2.0,2.0,1.0,有,,3407,否,坡道平面1,11.17,,0,2,2
買賣,萬華區,房地(土地+建物),0.18,土地:3建物:1車位:,"一層,二層,三層,四層,五層,六層,七層,八層,九層,十層,陽臺,平台,屋頂突出物,騎樓,地下一層,地下二層",華廈(10層含以下有電梯),商業用,3.18,,,,無,有,130,否,,0.0,有,2,7,8
預售屋,內湖區,房地(土地+建物)+車位,3.66,土地:6建物:1車位:1,七層,住宅大樓(11層含以上有電梯),住家用,38.24,2.0,2.0,1.0,有,,3311,否,坡道平面1,11.17,,0,2,2
預售屋,大安區,房地(土地+建物),3.19,土地:19建物:1車位:,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,36.77,0.0,0.0,1.0,有,,6508,否,,0.0,,1,3,9
預售屋,北投區,房地(土地+建物)+車位,8.34,土地:1建物:1車位:1,二十層,住宅大樓(11層含以上有電梯),住家用,54.63,3.0,2.0,2.0,有,,5939,否,坡道平面1,7.87,,0,0,0
買賣,文山區,房地(土地+建物)+車位,3.73,土地:1建物:1車位:1,九層,大樓(11層含以上有電梯),住家用,30.74,4.0,2.0,2.0,有,有,1500,是,升降平面1,0.0,有,1,3,4
預售屋,內湖區,房地(土地+建物)+車位,3.64,土地:6建物:1車位:1,十層,住宅大樓(11層含以上有電梯),住家用,38.09,2.0,2.0,1.0,有,,3334,否,坡道平面1,11.17,,0,2,2
買賣,南港區,房地(土地+建物),20.38,土地:1建物:1車位:,一層,華廈(10層含以下有電梯),工業用,111.42,0.0,1.0,4.0,有,有,7355,否,,0.0,有,0,1,3
預售屋,內湖區,房地(土地+建物)+車位,3.66,土地:6建物:1車位:1,十層,住宅大樓(11層含以上有電梯),住家用,38.24,2.0,2.0,1.0,有,,3429,否,坡道平面1,11.17,,0,2,2
買賣,中正區,房地(土地+建物),7.12,土地:1建物:1車位:,六層,大樓(11層含以上有電梯),見其他登記事項,28.91,2.0,2.0,1.0,有,有,2720,否,,0.0,有,0,2,6
買賣,內湖區,房地(土地+建物)+車位,19.61,土地:1建物:1車位:2,"一層,二層,三層,四層,五層,地下一層,地下二層,地下三層",華廈(10層含以下有電梯),見其他登記事項,101.59,0.0,1.0,0.0,有,有,3500,否,坡道平面2,23.9,有,0,0,3
預售屋,萬華區,房地(土地+建物)+車位,4.18,土地:34建物:1車位:1,十二層,住宅大樓(11層含以上有電梯),見其他登記事項,43.56,2.0,2.0,2.0,有,,2925,否,坡道平面1,13.66,,0,1,1
買賣,大安區,房地(土地+建物)+車位,5.03,土地:3建物:2車位:1,一層,大樓(11層含以上有電梯),商業用,58.36,0.0,1.0,2.0,有,有,4980,否,坡道平面1,17.32,有,0,1,8
買賣,士林區,房地(土地+建物),5.48,土地:1建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,23.33,2.0,1.0,1.0,有,無,1129,否,,0.0,無,1,2,3
預售屋,大安區,房地(土地+建物)+車位,4.77,土地:1建物:1車位:2,五層,住宅大樓(11層含以上有電梯),住家用,51.47,3.0,2.0,2.0,有,,6358,否,升降平面2,17.9,,3,8,18
預售屋,北投區,房地(土地+建物),10.08,土地:1建物:1車位:,十四層,住宅大樓(11層含以上有電梯),住家用,56.54,4.0,2.0,2.0,有,,7743,否,,0.0,,0,0,0
買賣,南港區,房地(土地+建物),8.41,土地:3建物:1車位:,六層,華廈(10層含以下有電梯),住家用,43.75,4.0,2.0,2.0,有,無,3516,否,,0.0,有,1,3,4
預售屋,松山區,房地(土地+建物),0.93,土地:5建物:1車位:,十四層,住宅大樓(11層含以上有電梯),住家用,11.37,1.0,1.0,1.0,有,,1748,否,,0.0,,2,2,8
買賣,文山區,房地(土地+建物),16.88,土地:2建物:1車位:,二層,公寓(5樓含以下無電梯),住家用,34.67,3.0,2.0,2.0,有,無,1468,否,,0.0,無,0,2,3
買賣,松山區,房地(土地+建物),12.96,土地:1建物:1車位:,"三層,陽臺",華廈(10層含以下有電梯),住家用,52.45,4.0,2.0,2.0,有,有,1530,否,,0.0,有,0,1,6
買賣,內湖區,房地(土地+建物)+車位,4.38,土地:1建物:1車位:1,五層,大樓(11層含以上有電梯),住家用,24.31,3.0,2.0,1.0,有,有,1638,否,坡道機械1,5.77,有,0,2,2
預售屋,內湖區,房地(土地+建物)+車位,3.66,土地:6建物:1車位:1,五層,住宅大樓(11層含以上有電梯),住家用,38.24,2.0,2.0,1.0,有,,3231,否,坡道平面1,11.17,,0,2,2
