case_t,district,case_f,landa,scnt,sbuild,buitype,pbuild,farea,build_r,build_l,build_b,build_p,rule,tprice,upnote,parktype,parea,elevator,metro_in500,metro_in1000,metro_in1500
買賣,大安區,房地(土地+建物),10.21,土地:5建物:1車位:,"四層,陽臺",公寓(5樓含以下無電梯),住家用,33.77,3.0,2.0,2.0,有,無,3498,否,,0.0,無,2,7,13
買賣,大安區,房地(土地+建物)+車位,5.38,土地:2建物:1車位:2,七層,大樓(11層含以上有電梯),住家用,61.17,,,,無,有,8913,是,塔式車位2,7.24,有,0,4,12
買賣,北投區,房地(土地+建物),8.77,土地:1建物:1車位:,四層,公寓(5樓含以下無電梯),工業用,29.02,1.0,1.0,1.0,有,無,800,否,,0.0,無,1,1,2
預售屋,大安區,房地(土地+建物)+車位,2.61,土地:19建物:1車位:1,十一層,住宅大樓(11層含以上有電梯),見其他登記事項,40.56,0.0,0.0,1.0,有,,5730,否,坡道平面1,10.83,,1,3,9
買賣,士林區,房地(土地+建物),5.18,土地:1建物:1車位:,十層,大樓(11層含以上有電梯),住家用,44.29,4.0,2.0,2.0,有,有,2745,否,,0.0,有,1,2,4
預售屋,大安區,房地(土地+建物)+車位,6.6,土地:19建物:1車位:2,二十一層,住宅大樓(11層含以上有電梯),住家用,91.0,4.0,2.0,2.0,有,,15008,否,坡道平面2,21.65,,1,3,9
買賣,大安區,房地(土地+建物)+車位,5.37,土地:2建物:1車位:1,三層,大樓(11層含以上有電梯),住家用,57.48,,,,無,有,8114,是,塔式車位1,3.62,有,0,4,12
預售屋,大安區,房地(土地+建物)+車位,3.99,土地:19建物:1車位:1,六層,住宅大樓(11層含以上有電梯),見其他登記事項,55.0,0.0,0.0,1.0,有,,8118,否,坡道平面1,10.83,,1,3,9
買賣,大安區,房地(土地+建物)+車位,5.37,土地:2建物:1車位:1,二層,大樓(11層含以上有電梯),住家用,57.17,,,,無,有,8068,是,塔式車位1,3.62,有,0,4,12
買賣,文山區,房地(土地+建物),17.1,土地:1建物:1車位:,四層,公寓(5樓含以下無電梯),住家用,35.98,3.0,2.0,2.0,有,無,1600,否,,0.0,無,1,2,4
買賣,士林區,房地(土地+建物),13.66,土地:1建物:1車位:,五層,公寓(5樓含以下無電梯),住家用,47.38,3.0,2.0,2.0,有,無,2500,否,,0.0,無,0,2,3
買賣,北投區,房地(土地+建物),9.38,土地:1建物:1車位:,三層,公寓(5樓含以下無電梯),住家用,33.62,3.0,2.0,2.0,有,無,2410,否,,0.0,無,1,2,2
買賣,文山區,房地(土地+建物),8.51,土地:1建物:1車位:,"一層,平台",公寓(5樓含以下無電梯),住家用,22.12,3.0,2.0,2.0,有,無,1840,否,,0.0,無,0,0,0
預售屋,文山區,房地(土地+建物)+車位,5.91,土地:2建物:1車位:1,三十三層,住宅大樓(11層含以上有電梯),住家用,43.9,3.0,2.0,2.0,有,,4663,否,坡道平面1,7.5,,0,2,3
預售屋,大安區,房地(土地+建物)+車位,5.46,土地:19建物:1車位:1,二十三層,住宅大樓(11層含以上有電梯),住家用,69.8,3.0,2.0,2.0,有,,12700,否,坡道平面1,10.83,,1,3,9
買賣,信義區,房地(土地+建物)+車位,11.4,土地:1建物:2車位:1,十層,大樓(11層含以上有電梯),住家用,58.0,3.0,0.0,2.0,有,有,5480,否,坡道平面1,11.36,有,1,2,4
買賣,大安區,房地(土地+建物),3.25,土地:2建物:1車位:,二層,公寓(5樓含以下無電梯),,5.66,3.0,1.0,2.0,有,無,460,否,,0.0,無,4,6,11
買賣,萬華區,房地(土地+建物),1.81,土地:1建物:1車位:,五層,大樓(11層含以上有電梯),見其他登記事項,18.3,1.0,1.0,1.0,有,有,1840,否,,0.0,有,0,3,8
預售屋,文山區,房地(土地+建物)+車位,7.0,土地:2建物:1車位:1,六層,住宅大樓(11層含以上有電梯),住家用,50.64,3.0,2.0,2.0,有,,4490,否,坡道平面1,7.5,,0,2,3
預售屋,北投區,房地(土地+建物)+車位,23.46,土地:1建物:1車位:5,十三層,辦公商業大樓,商業用,206.47,,,,無,,13078,否,坡道平面5,36.01,,0,0,0
預售屋,萬華區,房地(土地+建物)+車位,4.18,土地:34建物:1車位:1,三層,住宅大樓(11層含以上有電梯),見其他登記事項,43.56,2.0,2.0,2.0,有,,2683,否,坡道平面1,13.66,,0,1,1
買賣,信義區,房地(土地+建物),2.09,土地:6建物:1車位:,六層,大樓(11層含以上有電梯),商業用,28.02,0.0,1.0,0.0,有,有,2238,否,,0.0,有,1,3,5
